Date,cond_uScm
4/20/21 0:00,21.83582458
4/21/21 0:00,22.50066628
4/22/21 0:00,23.10400483
4/23/21 0:00,23.81412479
4/24/21 0:00,24.79288847
4/25/21 0:00,26.27085826
4/26/21 0:00,25.15434302
4/27/21 0:00,25.47989066
4/28/21 0:00,25.69780924
4/29/21 0:00,25.57505604
4/30/21 0:00,25.12771535
5/1/21 0:00,24.76670872
5/2/21 0:00,21.6225351
5/3/21 0:00,18.98147198
5/4/21 0:00,18.58613378
5/5/21 0:00,19.2428901
5/6/21 0:00,19.81100743
5/7/21 0:00,20.22274795
5/8/21 0:00,20.33530931
5/9/21 0:00,18.12898868
5/10/21 0:00,17.31467347
5/11/21 0:00,17.29375597
5/12/21 0:00,17.73159958
5/13/21 0:00,18.53993792
5/14/21 0:00,19.37539615
5/15/21 0:00,19.81999566
5/16/21 0:00,19.04991767
5/17/21 0:00,16.94734656
5/18/21 0:00,16.70145566
5/19/21 0:00,18.59019319
5/20/21 0:00,18.02027351
5/21/21 0:00,18.08399781
5/22/21 0:00,16.64535719
5/23/21 0:00,17.03602444
5/24/21 0:00,15.88972823
5/25/21 0:00,17.10831125
5/26/21 0:00,17.12696115
5/27/21 0:00,16.00531774
5/28/21 0:00,15.74261344
5/29/21 0:00,14.79509642
5/30/21 0:00,14.41548882
5/31/21 0:00,14.58456969
6/1/21 0:00,15.69624535
6/2/21 0:00,16.67029854
6/3/21 0:00,16.92157191
6/4/21 0:00,16.26099542
6/5/21 0:00,15.43198222
6/6/21 0:00,15.04143358
6/7/21 0:00,14.47761639
6/8/21 0:00,14.20841389
6/9/21 0:00,14.85090903
6/10/21 0:00,18.15722059
6/11/21 0:00,18.36015962
6/12/21 0:00,18.53709809
6/13/21 0:00,18.94891403
6/14/21 0:00,19.07869806
6/15/21 0:00,18.4513234
6/16/21 0:00,18.56101837
6/17/21 0:00,18.83391181
6/18/21 0:00,16.95726087
6/19/21 0:00,15.91848764
6/20/21 0:00,15.60284719
6/21/21 0:00,15.73892042
6/22/21 0:00,16.4284034
6/23/21 0:00,16.34651802
6/24/21 0:00,16.39038583
6/25/21 0:00,16.49088278
6/26/21 0:00,16.24465417
6/27/21 0:00,16.48600542
6/28/21 0:00,16.97820747
6/29/21 0:00,17.28674712
6/30/21 0:00,17.35364174
7/1/21 0:00,17.41841934
7/2/21 0:00,17.92416167
7/3/21 0:00,17.3850925
7/4/21 0:00,15.40352233
7/5/21 0:00,15.53225451
7/6/21 0:00,15.43650976
7/7/21 0:00,15.62681736
7/8/21 0:00,14.82587479
7/9/21 0:00,14.11549069
7/14/21 0:00,13.14277403
7/15/21 0:00,13.23342493
7/16/21 0:00,13.22533528
7/18/21 0:00,13.11374885
7/19/21 0:00,13.14168715
7/20/21 0:00,13.2170667
7/21/21 0:00,13.04429889
7/22/21 0:00,13.81886333
7/23/21 0:00,13.40391514
7/24/21 0:00,12.96047771
7/25/21 0:00,12.88232913
7/26/21 0:00,12.85090444
7/27/21 0:00,12.8904176
7/28/21 0:00,12.86701378
7/29/21 0:00,12.80023757
7/30/21 0:00,12.70073333
7/31/21 0:00,12.4403085
8/1/21 0:00,12.53342552
8/2/21 0:00,13.17833521
8/3/21 0:00,13.52979771
8/4/21 0:00,14.28367021
8/5/21 0:00,15.15918028
8/6/21 0:00,15.62420813
8/7/21 0:00,15.85202781
8/8/21 0:00,15.90580715
8/9/21 0:00,15.73935819
8/10/21 0:00,15.78338861
8/11/21 0:00,15.76883066
8/12/21 0:00,15.28767306
8/13/21 0:00,15.03734035
8/14/21 0:00,14.96429122
8/15/21 0:00,14.91798413
8/16/21 0:00,14.95067451
8/17/21 0:00,14.94433476
8/18/21 0:00,14.99935399
8/19/21 0:00,14.93656882
8/20/21 0:00,14.88198351
8/21/21 0:00,14.69632969
8/22/21 0:00,14.82508344
8/23/21 0:00,14.96278
8/24/21 0:00,15.09237924
8/25/21 0:00,15.26672031
8/26/21 0:00,15.36793927
8/27/21 0:00,15.40730052
8/28/21 0:00,15.45064684
8/29/21 0:00,15.49900986
9/2/21 0:00,15.71767198
9/5/21 0:00,15.9691341
9/6/21 0:00,16.02302122
9/7/21 0:00,16.16183688
9/8/21 0:00,16.38958576
9/9/21 0:00,16.44252052
9/10/21 0:00,16.60713993
9/11/21 0:00,16.74949469
9/12/21 0:00,16.73512406
9/13/21 0:00,16.7892501
9/14/21 0:00,16.86998941
9/15/21 0:00,16.98343628
9/17/21 0:00,16.75817639
9/18/21 0:00,16.87551934
9/19/21 0:00,16.96703333
9/20/21 0:00,16.92883188
9/21/21 0:00,16.85397014
9/22/21 0:00,17.10959618
9/23/21 0:00,17.36315149
9/24/21 0:00,17.51436649
9/25/21 0:00,17.59823771
9/26/21 0:00,17.64141545
9/27/21 0:00,17.76164535
9/28/21 0:00,17.77735188
9/29/21 0:00,17.91451639
9/30/21 0:00,18.0520059
10/1/21 0:00,18.17090788
10/2/21 0:00,18.40138056
10/3/21 0:00,18.51996632
10/4/21 0:00,18.80306403
10/5/21 0:00,19.01718028
10/6/21 0:00,19.18167705
10/7/21 0:00,19.36445476
10/8/21 0:00,19.63801219
10/10/21 0:00,19.87044014
10/11/21 0:00,20.31310257
10/12/21 0:00,20.72493413
10/13/21 0:00,20.77311472
10/14/21 0:00,21.19124003
10/15/21 0:00,21.47534979
10/16/21 0:00,21.71058222
10/17/21 0:00,22.37983566
10/18/21 0:00,22.76453458
10/19/21 0:00,22.6321942
10/20/21 0:00,22.63917063
10/21/21 0:00,22.90803917
10/22/21 0:00,23.00176431
10/23/21 0:00,23.13409038
10/24/21 0:00,22.79118503
10/25/21 0:00,22.58994403
10/26/21 0:00,22.51541146
10/27/21 0:00,22.3162424
10/28/21 0:00,22.58030559
10/29/21 0:00,22.79057174
10/30/21 0:00,22.81415601
10/31/21 0:00,22.97577462
11/1/21 0:00,22.98253326
11/2/21 0:00,23.00502448
11/3/21 0:00,23.03945681
11/4/21 0:00,23.12386837
11/5/21 0:00,23.2201575
11/6/21 0:00,23.18154396
11/7/21 0:00,23.28898031
11/8/21 0:00,23.29022771
11/9/21 0:00,23.45076153
11/10/21 0:00,23.55339132
11/11/21 0:00,23.60967399
11/12/21 0:00,23.85618615
11/13/21 0:00,23.84598184
11/14/21 0:00,23.90267802
11/15/21 0:00,23.97816125
11/16/21 0:00,24.07620774
11/17/21 0:00,24.20603076
11/18/21 0:00,24.4366251
11/19/21 0:00,24.91286427
11/20/21 0:00,25.0875401
11/21/21 0:00,25.2730801
11/22/21 0:00,25.35193969
11/23/21 0:00,25.88593698
11/24/21 0:00,26.34601576
11/25/21 0:00,26.64333826
11/26/21 0:00,26.38771174
11/27/21 0:00,26.51416625
11/28/21 0:00,26.84910976
11/29/21 0:00,27.11136878
11/30/21 0:00,27.31365503
12/3/21 0:00,28.32389243
12/4/21 0:00,28.56350389
12/5/21 0:00,28.72253059
12/10/21 0:00,29.65828368
12/11/21 0:00,29.40557535
12/12/21 0:00,28.32883118
12/13/21 0:00,28.9454299
12/14/21 0:00,29.86509788
12/15/21 0:00,29.94442969
12/16/21 0:00,29.76281479
12/17/21 0:00,30.25450903
12/18/21 0:00,30.63626795
12/19/21 0:00,31.51015861
12/20/21 0:00,32.15122628
12/21/21 0:00,31.7124701
12/22/21 0:00,31.9965908
12/23/21 0:00,32.32811247
12/24/21 0:00,32.67732295
12/25/21 0:00,31.7243324
12/26/21 0:00,31.10340153
12/27/21 0:00,30.08038708
12/28/21 0:00,29.33711375
12/29/21 0:00,29.2844133
12/30/21 0:00,29.15451378
12/31/21 0:00,29.04233806
1/1/22 0:00,28.81424323
1/2/22 0:00,29.23359076
1/3/22 0:00,29.27583243
1/4/22 0:00,29.44788309
1/5/22 0:00,29.05912566
1/6/22 0:00,29.07153083
1/7/22 0:00,29.34208319
1/8/22 0:00,29.81422778
1/9/22 0:00,30.05479361
1/10/22 0:00,29.91589472
1/11/22 0:00,29.96432917
1/12/22 0:00,29.92984694
1/13/22 0:00,30.07876878
1/14/22 0:00,30.39904649
1/15/22 0:00,30.37938865
1/16/22 0:00,30.22986035
1/17/22 0:00,30.22653885
1/18/22 0:00,30.27079135
1/19/22 0:00,30.341005
1/20/22 0:00,30.83252861
1/21/22 0:00,30.76047222
2/11/22 0:00,31.52332914
2/12/22 0:00,30.76819083
2/13/22 0:00,30.20293056
2/14/22 0:00,30.71652118
2/15/22 0:00,30.26758222
2/16/22 0:00,30.54436372
2/17/22 0:00,30.98744302
2/18/22 0:00,29.67381802
2/19/22 0:00,29.25836243
2/20/22 0:00,29.63723979
2/21/22 0:00,30.32194653
2/22/22 0:00,30.35600573
2/23/22 0:00,29.86871743
2/24/22 0:00,29.30970771
2/25/22 0:00,29.19997344
2/26/22 0:00,29.68833063
2/27/22 0:00,29.93385583
2/28/22 0:00,30.38378993
3/1/22 0:00,30.52877469
3/2/22 0:00,30.35917441
3/3/22 0:00,30.30159889
3/4/22 0:00,29.90902507
3/5/22 0:00,29.4421575
3/6/22 0:00,28.80530576
3/7/22 0:00,28.13679472
3/8/22 0:00,27.2168592
3/9/22 0:00,26.96271597
3/10/22 0:00,27.68328347
3/11/22 0:00,27.84739913
3/12/22 0:00,28.37997552
3/13/22 0:00,28.67437483
3/14/22 0:00,28.87919615
3/15/22 0:00,28.66837014
3/16/22 0:00,28.81477434
3/17/22 0:00,28.69182503
3/29/22 0:00,24.9507533
3/30/22 0:00,24.11861931
3/31/22 0:00,23.02368545
4/1/22 0:00,22.40889958
4/2/22 0:00,22.63945271
4/21/22 0:00,22.85814545
4/22/22 0:00,22.61162945
4/23/22 0:00,21.99440439
4/24/22 0:00,21.4268721
4/25/22 0:00,20.09039603
4/26/22 0:00,19.55003108
4/27/22 0:00,19.0354323
4/28/22 0:00,19.17130692
4/29/22 0:00,19.39233686
4/30/22 0:00,19.34629645
5/1/22 0:00,19.62292312
5/2/22 0:00,19.8269508
5/3/22 0:00,18.97002196
5/4/22 0:00,20.08273148
5/5/22 0:00,21.26475124
5/6/22 0:00,20.95175725
5/7/22 0:00,21.57163778
5/8/22 0:00,19.98436956
5/9/22 0:00,17.65859293
5/10/22 0:00,17.62377839
5/11/22 0:00,17.8589209
5/12/22 0:00,17.96942986
5/13/22 0:00,16.37745112
5/14/22 0:00,15.96518825
5/15/22 0:00,15.78073183
5/16/22 0:00,15.52411208
5/17/22 0:00,15.76816261
5/18/22 0:00,16.02634959
5/19/22 0:00,15.81863015
5/20/22 0:00,15.4608662
5/21/22 0:00,16.15710097
5/22/22 0:00,17.49043448
5/23/22 0:00,18.87439247
5/24/22 0:00,18.70283373
5/25/22 0:00,18.17956061
5/26/22 0:00,18.98205211
5/27/22 0:00,18.0517541
5/28/22 0:00,17.75767091
5/29/22 0:00,17.51916411
5/30/22 0:00,17.54375537
5/31/22 0:00,17.71410569
6/1/22 0:00,18.04670094
6/2/22 0:00,18.68558705
6/3/22 0:00,18.44047852
6/4/22 0:00,18.27491283
6/5/22 0:00,17.74461308
6/6/22 0:00,17.3819543
6/7/22 0:00,17.20166757
6/8/22 0:00,16.98484935
6/9/22 0:00,16.71052839
6/10/22 0:00,16.34571784
6/11/22 0:00,16.0454901
6/12/22 0:00,15.83083934
6/13/22 0:00,15.67404494
6/14/22 0:00,15.21724578
6/15/22 0:00,15.12742388
6/16/22 0:00,15.32227107
6/17/22 0:00,15.41202306
6/18/22 0:00,15.14733536
6/19/22 0:00,14.90317703
6/20/22 0:00,14.87930325
6/21/22 0:00,14.82944145
6/22/22 0:00,15.15253583
6/23/22 0:00,14.9862766
6/24/22 0:00,15.0301314
6/25/22 0:00,14.81790266
6/26/22 0:00,14.26411319
6/27/22 0:00,14.23181045
6/28/22 0:00,14.43908459
6/29/22 0:00,14.38373241
6/30/22 0:00,14.12977242
7/1/22 0:00,13.45625336
7/2/22 0:00,13.46428038
7/3/22 0:00,13.59068577
7/4/22 0:00,13.72428463
7/5/22 0:00,13.56114648
7/9/22 0:00,12.38907521
7/10/22 0:00,12.35268455
7/11/22 0:00,12.31682205
7/12/22 0:00,12.20122365
7/13/22 0:00,12.04642302
7/14/22 0:00,11.98252604
7/15/22 0:00,11.98031316
7/16/22 0:00,12.01284184
7/17/22 0:00,11.78343639
7/18/22 0:00,11.64393021
7/19/22 0:00,11.50959719
7/20/22 0:00,11.48803125
7/21/22 0:00,11.50180076
7/22/22 0:00,11.54805156
7/23/22 0:00,11.51584069
7/24/22 0:00,11.17735731
7/25/22 0:00,11.13538918
7/26/22 0:00,10.91280272
7/27/22 0:00,10.68424518
7/28/22 0:00,10.79430355
7/29/22 0:00,10.92667049
7/30/22 0:00,10.81965591
7/31/22 0:00,10.85723535
8/1/22 0:00,11.31765278
8/2/22 0:00,11.90842239
8/3/22 0:00,12.52836034
8/4/22 0:00,12.88209354
8/5/22 0:00,13.25328713
8/6/22 0:00,13.11778628
8/7/22 0:00,13.11910396
8/8/22 0:00,13.0306101
8/9/22 0:00,13.12686691
8/10/22 0:00,13.21531951
8/11/22 0:00,13.28773292
8/12/22 0:00,13.30339542
8/13/22 0:00,13.44735729
8/14/22 0:00,13.43278024
8/15/22 0:00,13.52557299
8/16/22 0:00,13.51909246
8/17/22 0:00,13.59288868
8/18/22 0:00,13.68267812
8/19/22 0:00,14.0076652
8/20/22 0:00,14.05218543
8/21/22 0:00,14.36567394
8/22/22 0:00,14.67808852
8/23/22 0:00,15.12387806
8/24/22 0:00,15.28417098
8/25/22 0:00,15.45616854
8/26/22 0:00,15.74085097
8/27/22 0:00,15.90501708
8/28/22 0:00,16.58802672
8/29/22 0:00,17.17301703
8/30/22 0:00,17.47686495
8/31/22 0:00,17.63242585
9/1/22 0:00,17.92303924
9/2/22 0:00,18.18470702
9/3/22 0:00,18.43255282
9/4/22 0:00,18.6443158
9/5/22 0:00,18.63314146
9/6/22 0:00,18.69432792
9/7/22 0:00,18.74553063
9/8/22 0:00,18.83400274
9/9/22 0:00,18.89953083
9/10/22 0:00,19.03688542
9/11/22 0:00,19.09849531
9/12/22 0:00,19.11071788
9/13/22 0:00,19.42628604
9/14/22 0:00,19.91907792
9/15/22 0:00,20.14382472
9/16/22 0:00,20.41762038
9/17/22 0:00,20.58718507
9/18/22 0:00,20.72860483
9/19/22 0:00,20.86610718
9/20/22 0:00,21.2668849
9/21/22 0:00,21.51034237
9/22/22 0:00,21.87554749
9/23/22 0:00,21.97843323
9/24/22 0:00,22.22051193
9/25/22 0:00,22.29327951
9/26/22 0:00,22.51157393
9/27/22 0:00,22.63310408
9/28/22 0:00,22.73960257
9/29/22 0:00,22.96572466
