"Date","waterYear","Temperature_C","cond_uScm","wy_doy","ice_or_no","ice_presence","Flow","cumulative_dis","airT_mean","airT_max","airT_min","wind_10m_mean","wind_10m_max","cumulative_water_temp","cumulWaterTemp_3day_slope","cumulWaterTemp_5day_slope","CFDD","temp_5day_mean","temp_7day_mean","z_cond_uScm","CLWD","wind_2day_mean"
2014-10-12,2015,3.3,17.69,12,0,"no ice",4.44,65.5,-0.135833333333333,4.01,-3.64,9.94479607356197,23.0178371324875,37.4,3.89999999999999,4.21,1,3.03991666666667,4.05363095238095,-1.20918260328524,1,10.9619030497471
2014-10-13,2015,2,17.85,13,0,"no ice",3.87,69.37,-2.47666666666667,-0.11,-4.31,8.68567071906384,15.2660514565372,39.4,2.64999999999999,3.58,2,1.09333333333333,2.885,-1.14982391501916,2,9.31523339631289
2014-10-14,2015,1.5,18.08,14,0,"no ice",3.7,73.07,5.6825,12.16,-0.38,8.36357934581586,14.0892483386005,40.9,1.75,2.79,0,1.78175,2.62934523809524,-1.06449580063666,3,8.52462503243983
2014-10-15,2015,2.2,18.22,15,0,"no ice",3.32,76.39,10.4858333333333,13.69,8.69,16.1603498503403,29.4200779484186,43.1,1.84999999999999,2.15,0,3.56866666666667,3.09071428571428,-1.01255694840383,0,12.2619645980781
2014-10-16,2015,2.4,17.74,16,0,"no ice",3.31,79.7,7.2,10.35,5.28,16.2831584325333,30.4781211186736,45.5,2.3,1.99,0,4.15116666666667,3.79922619047619,-1.19063301320209,0,16.2217541414368
2014-10-17,2015,3,17.84,17,0,"no ice",3.21,82.91,5.31208333333333,10.92,-0.55,7.68070964665594,14.8881788957318,48.5,2.69999999999999,2.28,0,5.24075,4.33648809523809,-1.15353383303579,1,11.9819340395946
2014-10-18,2015,3.3,17.99,18,0,"no ice",3.02,85.93,6.975,11.95,2.87,6.52145061189281,12.1674964579331,51.8,3.15,2.72,0,7.13108333333333,4.72041666666667,-1.09788506278633,2,7.10108012927436
2014-10-19,2015,3.9,18.13,19,0,"no ice",2.83,88.76,5.50208333333333,10.92,0.25,3.65906596379873,6.96365147769908,55.7,3.59999999999999,3.15,0,7.095,5.52583333333333,-1.04594621055351,3,5.09025828784575
2014-10-20,2015,4,18.28,20,0,"no ice",2.72,91.48,5.34375,11.5,-0.27,4.27670766140085,7.62222936938844,59.7,3.94999999999999,3.56,0,6.06658333333333,6.64303571428571,-0.99029744030405,4,3.96788681259977
2014-10-21,2015,4.1,18.42,21,0,"no ice",2.54,94.02,6.29958333333333,9.46,4.21,11.2282132353624,16.8855052885602,63.8,4.04999999999999,3.85,0,5.8865,6.73119047619048,-0.938358588071225,0,7.75246044838162
2014-10-22,2015,3.3,18.57,22,0,"no ice",2.17,96.19,2.50416666666667,4.26,1,14.5377470804187,20.5670636666926,67.1,3.7,3.87,0,5.32491666666667,5.59095238095238,-0.882709817821769,0,12.8829801578905
2014-10-23,2015,2.7,18.71,23,0,"no ice",2.05,98.24,4.84666666666667,8.46,2.14,19.962467569404,27.3039916079085,69.8,2.99999999999999,3.56,0,4.89925,5.2547619047619,-0.830770965588944,0,17.2501073249113
2014-10-24,2015,2.7,18.86,24,0,"no ice",1.99,100.23,8.38291666666667,11.82,6.03,19.2166191101001,27.0556753536649,72.5,2.7,3.16,0,5.47541666666667,5.69345238095238,-0.775122195339489,0,19.589543339752
